Date,Open,High,Low,Close,Tick Volume,Volume
2018.08.23 12:24,4143.86,4145.892,4143.352,4145.384,427,1261
2018.08.23 12:25,4145.384,4145.892,4143.352,4144.876,365,1182
2018.08.23 12:26,4144.876,4144.876,4143.352,4144.3679999999995,299,928
2018.08.23 12:27,4144.876,4146.4,4144.3679999999995,4144.876,373,1096
2018.08.23 12:28,4144.876,4145.384,4144.3679999999995,4144.876,158,482
2018.08.23 12:29,4144.3679999999995,4147.416,4144.3679999999995,4146.907999999999,467,1592
2018.08.23 12:30,4147.416,4148.94,4146.907999999999,4148.432,672,2248
2018.08.23 12:31,4148.432,4148.94,4147.416,4147.924,303,920
2018.08.23 12:32,4147.924,4151.48,4147.924,4150.464,1401,5021
2018.08.23 12:33,4150.972,4151.48,4149.956,4151.48,373,1711
2018.08.23 12:34,4151.48,4155.544,4150.972,4155.036,2161,8441
2018.08.23 12:35,4155.036,4155.544,4152.496,4154.528,1084,4202
2018.08.23 12:36,4155.036,4156.56,4154.02,4155.544,1226,4216
2018.08.23 12:37,4156.052,4157.068,4154.528,4157.068,897,3130
2018.08.23 12:38,4157.068,4159.608,4156.56,4159.1,1697,5925
2018.08.23 12:39,4159.1,4159.608,4156.052,4156.052,1231,3973
2018.08.23 12:40,4156.052,4158.084,4155.036,4157.068,1361,5316
2018.08.23 12:41,4157.576,4158.592000000001,4157.068,4157.068,352,1266
2018.08.23 12:42,4157.068,4162.656,4157.068,4158.592000000001,2376,8160
2018.08.23 12:43,4159.1,4160.116,4158.084,4160.116,473,1468
2018.08.23 12:44,4160.116,4160.624,4158.592000000001,4159.1,482,1663
2018.08.23 12:45,4159.608,4161.1320000000005,4159.1,4160.116,633,3691
2018.08.23 12:46,4160.116,4160.624,4157.576,4158.084,708,2492
2018.08.23 12:47,4158.084,4161.1320000000005,4157.576,4161.1320000000005,572,1797
2018.08.23 12:48,4160.624,4163.6720000000005,4160.116,4160.624,1607,5056
2018.08.23 12:49,4160.624,4161.1320000000005,4158.084,4159.1,668,2070
2018.08.23 12:50,4158.592000000001,4159.608,4157.576,4158.084,556,1962
2018.08.23 12:51,4158.084,4159.608,4157.576,4159.1,383,1615
2018.08.23 12:52,4159.1,4163.6720000000005,4158.592000000001,4163.164000000001,1237,3940
2018.08.23 12:53,4163.164000000001,4164.18,4160.116,4161.1320000000005,1124,3797
2018.08.23 12:54,4161.1320000000005,4161.64,4160.624,4161.1320000000005,206,663
2018.08.23 12:55,4161.1320000000005,4162.656,4159.608,4161.64,664,2075
2018.08.23 12:56,4161.64,4162.656,4160.116,4162.148,410,1260
2018.08.23 12:57,4162.148,4163.164000000001,4160.624,4162.148,445,1211
2018.08.23 12:58,4161.64,4161.64,4159.1,4159.608,562,1679
2018.08.23 12:59,4159.608,4160.624,4159.1,4160.116,248,1052
